;,CEC Title-24 Residential Compliance Ruleset,,,,,,,,,,,
;,Central HPWH Compressors look-up table,,,,,,,,,,,
;,Last modified:,,08/03/26 - SAC,,,,,,,,,
;,,,,,,,,,,,,
;,Source Data:,,"Ben Larson, Paul Kintner, Chip Barnaby & Bruce Wilcox - 2020 CHPWH dev team",,,,,,,,,
;,,,,,,,,,,,,
;,Mod history:,,"08/03/26 - SAC - added new AOSmith, Laars, Nyle & Watts (and placeholder Rheem) models -AND- CHPWHCompTypeRpt column (to avoid having to edit rule logic for each added CHPWH) (dev #965)",,,,,,,,,
;,,,03/04/26 - SAC - added new IceAir models (dev #736),,,,,,,,,
;,,,12/18/24 - SAC - added new compressor type: Mitsubishi QAHV-N136TAU-HPB  (40kW cap @ 40F),,,,,,,,,
;,,,02/23/22 - SAC - added Nyle multi pass compressor types,,,,,,,,,
;,,,02/03/22 - SAC - updated Colmac CxV-5 compressor OutputCap from 10 to 14 kW,,,,,,,,,
;,,,01/18/22 - SAC - added multi pass compressor types,,,,,,,,,
;,,,"6/22/21 - SAC - added 'generic' 5, 11, 20, 26, 40 & 45 kW compressor types",,,,,,,,,
;,,,8/31/20 - SAC - created initial table from existing ruleset data and compressor capacity (kW) data from Ben Larson,,,,,,,,,
;,,,,,,,,,,,,
;,Independents:,,,,,,,,CSE Simulation Compressor Types,,,
;,,1,CHPWHCompType - numeric value that maps to DHWSys:CHPWHCompType,,,,,,TypeID,Name,OutputCap,
;,,,,,,,,,48,Colmac CxV-5,14,
;,Dependents:,,,,,,,,49,Colmac CxA-10,21,
;,,1,OutputCap - output heating capacity @ ambient 40 deg F,,,,,,50,Colmac CxA-15,29,
;,,,,,,,,,45,Colmac CxA-20,41,
;,,,,,,,,,51,Colmac CxA-25,49,
,TABLE T24RCHPWHCompressor,,,,,,,,52,Colmac CxA-30,57,
,,CHPWHCompType,OutputCap,CHPWHCompTypeRpt,,old name,new name,,53,Nyle C25A,5,
,,327,26,StateSHPA125CMP,;,,"State SHPA-125-*-***C****  (MP, 26kw cap @ 40F)",,,,,
,,328,41,StateSHPA185CMP,;,,"State SHPA-185-*-***C****  (MP, 41kw cap @ 40F)",,,,,
,,329,46,StateSHPA250CMP,;,,"State SHPA-250-*-***C****  (MP, 46kw cap @ 40F)",,,,,
,,411,70,IceAir_ccHPWH275,;,Ice Air ccHPWH275  (MP 70kW cap @ 40F),,03/04/26 - SAC (dev #736),,,,
,,412,140,IceAir_ccHPWH550,;,Ice Air ccHPWH550  (MP 140kW cap @ 40F),,03/04/26 - SAC (dev #736),,,,
,,113,10,AOSmithCAHP2CO6,;,A.O. Smith CAHP2CO-6  (10kW cap @ 40F),,08/03/26 - SAC (dev #965),,,,
,,213,10,StateCAHP2CO6,;,State CAHP2CO-6  (10kW cap @ 40F),,,,,,
,,313,10,AmericanCAHP2CO6,;,American CAHP2CO-6  (10kW cap @ 40F),,,,,,
,,413,10,LochinvarCAHP2CO6,;,Lochinvar CAHP2CO-6  (10kW cap @ 40F),,,,,,
,,114,15,AOSmithCAHP3CO6,;,A.O. Smith CAHP3CO-6  (15kW cap @ 40F),,,,,,
,,214,15,StateCAHP3CO6,;,State CAHP3CO-6  (15kW cap @ 40F),,,,,,
,,314,15,AmericanCAHP3CO6,;,American CAHP3CO-6  (15kW cap @ 40F),,,,,,
,,414,15,LochinvarCAHP3CO6,;,Lochinvar CAHP3CO-6  (15kW cap @ 40F),,,,,,
,,115,79,LaarsECHV0325,;,Laars ECHV0325  (79kW cap @ 40F),,,,,,
,,215,79,BradfordWhiteCHEV0325,;,Bradford White CHEV0325  (79kW cap @ 40F),,,,,,
,,116,48,NyleE360,;,Nyle e360  (48kW cap @ 40F),,,,,,
,,117,33,NyleE180,;,Nyle e180  (33kW cap @ 40F),,,,,,
,,118,109,LyncAegis500A,;,Lync Aegis 500A  (109kW cap @ 40F),,,,,,
,,119,20,RheemRMHPHDA068VD,;,Rheem RMHPHDA068VD  (20kW cap @ 40F),,,,,,
,,120,24,RheemRMHPHDA120VD,;,Rheem RMHPHDA120VD  (24kW cap @ 40F),,,,,,
,,219,20,RaypackRMHPHDA068VD,;,Raypack RMHPHDA068VD  (20kW cap @ 40F),,,,,,
,,220,24,RaypackRMHPHDA120VD,;,Raypack RMHPHDA120VD  (24kW cap @ 40F),,,,,,
,,319,20,RuudRMHPHDA068VD,;,Ruud RMHPHDA068VD  (20kW cap @ 40F),,,,,,
,,320,24,RuudRMHPHDA120VD,;,Ruud RMHPHDA120VD  (24kW cap @ 40F),,,,,,
,,121,17,RheemRMHPHDA068VDMP,;,"Rheem RMHPHDA068VD  (MP, 17kW cap @ 40F)",,,,,,
,,122,28,RheemRMHPHDA120VDMP,;,"Rheem RMHPHDA120VD  (MP, 28kW cap @ 40F)",,,,,,
,,221,17,RaypackRMHPHDA068VDMP,;,"Raypack RMHPHDA068VD  (MP, 17kW cap @ 40F)",,,,,,
,,222,28,RaypackRMHPHDA120VDMP,;,"Raypack RMHPHDA120VD  (MP, 28kW cap @ 40F)",,,,,,
,,321,17,RuudRMHPHDA068VDMP,;,"Ruud RMHPHDA068VD  (MP, 17kW cap @ 40F)",,,,,,
,,322,28,RuudRMHPHDA120VDMP,;,"Ruud RMHPHDA120VD  (MP, 28kW cap @ 40F)",,,,,,
,,991,5,Generic5kW,;,generic,generic  (5kW cap @ 40F),,,,,
,,992,11,Generic11kW,;,generic,generic  (11kW cap @ 40F),,,,,
,,993,20,Generic20kW,;,generic,generic  (20kW cap @ 40F),,,,,
,,994,26,Generic26kW,;,generic,generic  (26kW cap @ 40F),,,,,
,,995,40,Generic40kW,;,generic,generic  (40kW cap @ 40F),,,,,
,,996,45,Generic45kW,;,generic,generic  (45kW cap @ 40F),,,,,
,,*,0,(report mapping error),;,ERROR,,,,,,
,ENDTABLE,,,,,,,,,,,
